iter	Passed	Remaining
0	3	389
1	7	364
2	10	351
3	12	306
4	15	285
5	17	269
6	19	254
7	20	238
8	22	225
9	23	215
10	25	204
11	26	194
12	27	186
13	29	178
14	30	171
15	31	164
16	32	158
17	33	152
18	34	147
19	35	141
20	36	136
21	37	132
22	38	127
23	39	124
24	40	120
25	41	116
26	42	113
27	42	110
28	44	108
29	45	105
30	46	102
31	46	99
32	47	96
33	48	94
34	49	92
35	50	90
36	51	87
37	52	85
38	53	83
39	54	81
40	55	79
41	55	76
42	56	74
43	57	73
44	58	71
45	59	69
46	60	67
47	61	66
48	62	64
49	63	63
50	63	61
51	64	59
52	65	58
53	66	56
54	67	55
55	68	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	46
61	73	45
62	75	44
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	109	0
