iter	Passed	Remaining
0	607	606546
1	608	303576
2	609	202505
3	610	151942
4	611	121641
5	612	101431
6	613	86980
7	614	76148
8	614	67715
9	616	60986
10	617	55478
11	618	50941
12	620	47085
13	621	43783
14	622	40904
15	623	38367
16	624	36124
17	625	34130
18	626	32342
19	627	30734
20	628	29279
21	629	27970
22	630	26771
23	631	25668
24	632	24670
25	633	23738
26	634	22875
27	635	22068
28	636	21319
29	637	20621
30	638	19968
31	640	19360
32	641	18787
33	642	18243
34	643	17730
35	644	17247
36	645	16791
37	646	16369
38	648	15968
39	649	15576
40	649	15201
41	650	14845
42	651	14505
43	652	14181
44	653	13872
45	654	13574
46	655	13299
47	657	13030
48	657	12769
49	659	12521
50	660	12290
51	662	12069
52	662	11845
53	663	11631
54	665	11426
55	666	11227
56	666	11034
57	667	10847
58	669	10670
59	670	10496
60	670	10328
61	671	10165
62	672	10007
63	673	9855
64	675	9713
65	676	9573
66	677	9434
67	678	9298
68	679	9166
69	680	9040
70	681	8915
71	682	8796
72	683	8678
73	684	8563
74	685	8451
75	686	8342
76	687	8236
77	688	8133
78	689	8037
79	690	7940
80	691	7844
81	692	7751
82	692	7655
83	693	7566
84	694	7480
85	696	7398
86	697	7315
87	698	7234
88	699	7158
89	700	7081
90	701	7004
91	702	6930
92	703	6858
93	704	6792
94	705	6723
95	706	6655
96	707	6588
97	708	6521
98	709	6456
99	710	6395
100	711	6334
101	712	6274
102	713	6215
103	714	6157
104	715	6100
105	716	6045
106	718	5993
107	719	5942
108	720	5889
109	721	5838
110	722	5787
111	723	5739
112	724	5689
113	725	5640
114	726	5592
115	727	5546
116	728	5498
117	729	5452
118	730	5408
119	731	5363
120	732	5321
121	733	5279
122	734	5237
123	735	5196
124	736	5156
125	737	5116
126	738	5075
127	739	5036
128	740	4997
129	741	4959
130	742	4922
131	743	4886
132	744	4850
133	745	4815
134	746	4782
135	747	4748
136	748	4717
137	749	4684
138	751	4651
139	752	4620
140	753	4589
141	754	4556
142	754	4524
143	755	4493
144	756	4462
145	757	4431
146	758	4402
147	759	4373
148	760	4343
149	761	4315
150	762	4287
151	763	4260
152	764	4232
153	765	4205
154	766	4178
155	767	4152
156	768	4126
157	769	4100
158	770	4075
159	771	4049
160	772	4023
161	773	4001
162	774	3976
163	775	3952
164	776	3928
165	777	3907
166	778	3885
167	779	3861
168	780	3839
169	781	3816
170	782	3794
171	783	3772
172	784	3750
173	785	3729
174	786	3707
175	787	3688
176	788	3667
177	789	3647
178	790	3627
179	792	3608
180	793	3590
181	794	3571
182	795	3551
183	796	3531
184	797	3513
185	798	3494
186	799	3476
187	800	3457
188	801	3438
189	802	3420
190	803	3401
191	804	3384
192	805	3366
193	806	3348
194	807	3333
195	808	3316
196	809	3299
197	810	3281
198	811	3265
199	812	3248
200	813	3232
201	814	3216
202	815	3200
203	816	3184
204	817	3168
205	818	3152
206	818	3137
207	819	3121
208	821	3107
209	822	3093
210	823	3079
211	824	3064
212	825	3049
213	826	3035
214	827	3020
215	828	3006
216	829	2991
217	829	2977
218	830	2962
219	831	2948
220	832	2935
221	833	2921
222	834	2908
223	835	2895
224	836	2882
225	837	2869
226	839	2857
227	840	2844
228	841	2831
229	842	2819
230	842	2806
231	843	2793
232	844	2781
233	845	2768
234	846	2756
235	847	2743
236	848	2731
237	849	2719
238	850	2708
239	851	2697
240	852	2686
241	853	2674
242	854	2663
243	855	2651
244	856	2639
245	857	2628
246	858	2617
247	859	2605
248	860	2595
249	861	2584
250	862	2573
251	863	2562
252	864	2552
253	865	2542
254	866	2532
255	867	2522
256	869	2512
257	870	2502
258	870	2491
259	872	2482
260	873	2472
261	874	2463
262	875	2454
263	876	2444
264	877	2434
265	878	2425
266	880	2417
267	882	2409
268	883	2400
269	884	2392
270	885	2382
271	886	2373
272	887	2363
273	889	2356
274	890	2348
275	891	2339
276	892	2329
277	893	2320
278	894	2312
279	896	2305
280	897	2296
281	898	2288
282	899	2279
283	900	2270
284	901	2262
285	903	2254
286	904	2247
287	906	2240
288	907	2232
289	908	2223
290	910	2219
291	912	2211
292	913	2203
293	914	2195
294	915	2187
295	916	2179
296	917	2171
297	918	2163
298	919	2155
299	920	2147
300	921	2140
301	923	2133
302	924	2127
303	926	2121
304	927	2113
305	928	2106
306	929	2098
307	930	2090
308	931	2083
309	932	2075
310	934	2069
311	935	2062
312	936	2056
313	937	2049
314	939	2042
315	940	2036
316	941	2029
317	942	2022
318	943	2014
319	944	2007
320	945	2000
321	946	1993
322	947	1986
323	948	1979
324	949	1972
325	950	1965
326	951	1958
327	952	1951
328	953	1945
329	955	1939
330	956	1932
331	957	1925
332	958	1919
333	959	1913
334	960	1906
335	961	1899
336	962	1893
337	963	1886
338	964	1880
339	965	1873
340	966	1867
341	967	1860
342	968	1855
343	969	1849
344	970	1843
345	972	1837
346	973	1831
347	974	1825
348	975	1818
349	975	1812
350	976	1806
351	977	1800
352	978	1794
353	979	1787
354	980	1782
355	981	1776
356	982	1770
357	984	1764
358	985	1759
359	986	1752
360	987	1747
361	987	1741
362	988	1735
363	989	1729
364	990	1723
365	991	1718
366	992	1712
367	993	1706
368	994	1701
369	995	1695
370	996	1689
371	998	1684
372	999	1679
373	1000	1673
374	1000	1668
375	1001	1662
376	1002	1657
377	1003	1651
378	1004	1646
379	1005	1640
380	1006	1635
381	1007	1629
382	1008	1624
383	1009	1619
384	1010	1613
385	1011	1608
386	1012	1604
387	1013	1598
388	1014	1593
389	1015	1588
390	1016	1583
391	1017	1577
392	1018	1572
393	1019	1567
394	1020	1562
395	1021	1557
396	1022	1552
397	1023	1547
398	1023	1542
399	1024	1537
400	1025	1532
401	1027	1527
402	1028	1523
403	1029	1518
404	1030	1513
405	1031	1508
406	1032	1503
407	1032	1498
408	1033	1494
409	1034	1489
410	1035	1484
411	1036	1479
412	1037	1474
413	1038	1470
414	1040	1466
415	1041	1461
416	1042	1457
417	1043	1452
418	1044	1448
419	1045	1443
420	1046	1439
421	1047	1434
422	1048	1430
423	1049	1425
424	1050	1420
425	1051	1416
426	1051	1411
427	1052	1407
428	1053	1402
429	1054	1398
430	1055	1393
431	1057	1389
432	1058	1385
433	1059	1381
434	1059	1376
435	1060	1372
436	1061	1368
437	1062	1363
438	1063	1359
439	1064	1355
440	1065	1350
441	1066	1346
442	1067	1342
443	1068	1337
444	1069	1333
445	1070	1329
446	1071	1325
447	1072	1321
448	1073	1317
449	1074	1312
450	1075	1308
451	1076	1304
452	1076	1300
453	1077	1296
454	1079	1292
455	1080	1288
456	1081	1284
457	1081	1280
458	1082	1276
459	1083	1272
460	1084	1268
461	1085	1264
462	1087	1260
463	1088	1256
464	1088	1252
465	1089	1249
466	1090	1245
467	1091	1241
468	1092	1237
469	1093	1233
470	1094	1229
471	1095	1225
472	1096	1221
473	1098	1218
474	1099	1214
475	1100	1210
476	1101	1207
477	1102	1204
478	1103	1200
479	1104	1196
480	1105	1192
481	1106	1188
482	1107	1185
483	1108	1181
484	1109	1178
485	1110	1174
486	1111	1171
487	1112	1167
488	1113	1163
489	1114	1160
490	1116	1157
491	1117	1153
492	1118	1150
493	1119	1146
494	1120	1143
495	1121	1139
496	1122	1136
497	1123	1132
498	1124	1129
499	1125	1125
500	1126	1122
501	1127	1118
502	1128	1115
503	1130	1112
504	1131	1108
505	1132	1105
506	1133	1102
507	1134	1098
508	1135	1095
509	1136	1091
510	1137	1088
511	1137	1084
512	1139	1081
513	1140	1078
514	1141	1074
515	1142	1071
516	1143	1068
517	1144	1064
518	1145	1061
519	1146	1058
520	1147	1055
521	1148	1051
522	1149	1048
523	1150	1044
524	1151	1041
525	1152	1038
526	1154	1035
527	1155	1032
528	1156	1029
529	1157	1026
530	1158	1023
531	1159	1020
532	1161	1017
533	1162	1014
534	1163	1011
535	1164	1008
536	1165	1004
537	1166	1001
538	1167	998
539	1169	995
540	1170	992
541	1171	989
542	1172	986
543	1173	983
544	1174	980
545	1176	978
546	1177	975
547	1178	972
548	1179	969
549	1180	965
550	1181	962
551	1182	960
552	1183	956
553	1184	953
554	1185	950
555	1186	947
556	1188	945
557	1189	942
558	1190	939
559	1191	936
560	1193	933
561	1193	930
562	1194	927
563	1195	924
564	1196	921
565	1197	918
566	1198	915
567	1199	912
568	1200	909
569	1201	906
570	1202	903
571	1204	901
572	1205	898
573	1206	895
574	1207	892
575	1208	889
576	1209	886
577	1210	883
578	1211	881
579	1212	878
580	1213	875
581	1214	872
582	1216	870
583	1218	868
584	1220	865
585	1221	862
586	1222	859
587	1223	857
588	1224	854
589	1225	851
590	1226	848
591	1227	845
592	1227	842
593	1228	839
594	1229	837
595	1230	834
596	1232	831
597	1233	829
598	1234	826
599	1235	823
600	1236	820
601	1237	817
602	1238	815
603	1239	812
604	1240	809
605	1241	807
606	1242	804
607	1243	801
608	1244	799
609	1245	796
610	1247	794
611	1249	791
612	1250	789
613	1251	786
614	1252	783
615	1253	781
616	1254	778
617	1255	775
618	1257	773
619	1258	771
620	1260	769
621	1261	766
622	1262	764
623	1263	761
624	1264	758
625	1265	756
626	1266	753
627	1267	750
628	1268	748
629	1269	745
630	1270	743
631	1271	740
632	1272	737
633	1273	735
634	1274	732
635	1276	730
636	1277	728
637	1278	725
638	1279	722
639	1280	720
640	1281	717
641	1282	714
642	1282	712
643	1284	709
644	1285	707
645	1286	704
646	1287	702
647	1288	699
648	1289	697
649	1291	695
650	1293	693
651	1294	690
652	1295	688
653	1296	685
654	1297	683
655	1298	680
656	1299	678
657	1300	675
658	1301	673
659	1302	670
660	1303	668
661	1304	665
662	1306	664
663	1308	662
664	1309	659
665	1310	657
666	1311	654
667	1311	652
668	1312	649
669	1313	647
670	1314	644
671	1315	642
672	1316	639
673	1317	637
674	1318	634
675	1319	632
676	1321	630
677	1321	627
678	1322	625
679	1323	622
680	1324	620
681	1325	618
682	1326	615
683	1327	613
684	1329	611
685	1330	608
686	1331	606
687	1331	604
688	1333	601
689	1334	599
690	1335	597
691	1337	595
692	1338	592
693	1339	590
694	1340	588
695	1341	585
696	1342	583
697	1343	581
698	1344	578
699	1345	576
700	1346	574
701	1347	571
702	1348	569
703	1350	567
704	1351	565
705	1352	563
706	1353	560
707	1354	558
708	1355	556
709	1356	553
710	1357	551
711	1357	549
712	1358	546
713	1359	544
714	1360	542
715	1361	540
716	1362	537
717	1363	535
718	1365	533
719	1366	531
720	1367	529
721	1368	526
722	1368	524
723	1369	522
724	1370	520
725	1371	517
726	1373	515
727	1374	513
728	1375	511
729	1376	509
730	1377	506
731	1378	504
732	1379	502
733	1381	500
734	1382	498
735	1383	496
736	1384	493
737	1385	491
738	1386	489
739	1387	487
740	1388	485
741	1388	482
742	1389	480
743	1390	478
744	1391	476
745	1392	474
746	1394	472
747	1395	470
748	1396	468
749	1397	465
750	1398	463
751	1399	461
752	1400	459
753	1401	457
754	1402	455
755	1403	452
756	1404	450
757	1405	448
758	1406	446
759	1407	444
760	1409	442
761	1409	440
762	1410	438
763	1411	436
764	1412	433
765	1413	431
766	1414	429
767	1415	427
768	1416	425
769	1417	423
770	1418	421
771	1419	419
772	1420	417
773	1421	415
774	1423	413
775	1424	411
776	1425	409
777	1426	407
778	1427	404
779	1428	402
780	1429	400
781	1430	398
782	1431	396
783	1432	394
784	1433	392
785	1434	390
786	1435	388
787	1437	386
788	1438	384
789	1441	383
790	1442	381
791	1444	379
792	1445	377
793	1446	375
794	1447	373
795	1447	371
796	1448	369
797	1449	367
798	1450	364
799	1451	362
800	1453	360
801	1454	358
802	1455	356
803	1456	354
804	1457	352
805	1457	350
806	1458	348
807	1459	346
808	1460	344
809	1461	342
810	1462	340
811	1463	338
812	1464	336
813	1466	335
814	1467	333
815	1468	331
816	1469	329
817	1470	327
818	1471	325
819	1472	323
820	1473	321
821	1474	319
822	1475	317
823	1476	315
824	1477	313
825	1478	311
826	1479	309
827	1480	307
828	1482	305
829	1483	303
830	1486	302
831	1487	300
832	1488	298
833	1489	296
834	1490	294
835	1491	292
836	1492	290
837	1492	288
838	1493	286
839	1494	284
840	1495	282
841	1496	280
842	1498	278
843	1499	277
844	1500	275
845	1501	273
846	1502	271
847	1503	269
848	1503	267
849	1504	265
850	1505	263
851	1506	261
852	1508	259
853	1509	258
854	1510	256
855	1511	254
856	1512	252
857	1513	250
858	1514	248
859	1515	246
860	1516	244
861	1517	242
862	1518	241
863	1519	239
864	1520	237
865	1521	235
866	1522	233
867	1523	231
868	1524	229
869	1525	227
870	1526	226
871	1527	224
872	1528	222
873	1529	220
874	1530	218
875	1531	216
876	1531	214
877	1532	212
878	1533	211
879	1534	209
880	1535	207
881	1536	205
882	1537	203
883	1538	201
884	1539	200
885	1540	198
886	1541	196
887	1542	194
888	1543	192
889	1544	190
890	1545	189
891	1545	187
892	1546	185
893	1547	183
894	1548	181
895	1549	179
896	1550	178
897	1551	176
898	1552	174
899	1553	172
900	1554	170
901	1555	169
902	1556	167
903	1558	165
904	1558	163
